trip_id,stop_id
11708427,3893
11708204,3892
11708427,6296
11708204,3824
11708427,4026
11708427,4027
11708429,3893
11708204,4277
11708427,4028
11708427,4015
11708429,6296
11708429,4026
11708429,4027
11708431,3893
11708205,3892
11708393,4277
11708208,4015
11708429,4028
11708208,6314
11708205,3824
11708429,4015
11708431,6296
11708208,6312
11708431,4026
11708208,6311
11708393,3825
11708206,3892
11708205,4277
11708431,4027
11708208,6295
11708394,4277
11708209,4015
11708393,3893
11708206,3824
11708207,3892
11708431,4028
11708209,6314
11708431,4015
11708208,3892
11708209,6312
11708393,6296
11708207,3824
11708434,3893
11708209,6311
11708208,3824
11708394,3825
11708206,4277
11708393,4026
11708434,6296
11708209,6295
11708210,4015
11708207,4277
11708395,4277
11708394,3893
11708393,4027
11708210,6314
11708434,4026
11708208,4277
11708209,3892
11708393,4028
11708210,6312
11708394,6296
11708393,4015
11708434,4027
11708209,3824
11708210,6311
11708395,3825
11708394,4026
11708434,4028
11708212,4015
11708396,4277
11708434,4015
11708212,6314
11708210,6295
11708395,3893
11708394,4027
11708212,6312
11708209,4277
11708210,3892
11708394,4028
11708394,4015
11708395,6296
11708212,6311
11708396,3825
11708397,4277
11708213,4015
11708210,3824
11708213,6314
11708395,4026
11708212,6295
11708396,3893
11708211,3892
11708213,6312
11708395,4027
11708212,3892
11708435,3893
11708396,6296
11708210,4277
11708211,3824
11708213,6311
11708395,4028
11708397,3825
11708214,4015
11708395,4015
11708398,4277
11708214,6314
11708212,3824
11708435,6296
11708213,6295
11708396,4026
11708397,3893
11708214,6312
11708211,4277
11708396,4027
11708435,4026
11708213,3892
11708397,6296
11708214,6311
11708215,4015
11708398,3825
11708212,4277
11708396,4028
11708399,4277
11708215,6314
11708396,4015
11708435,4027
11708213,3824
11708214,6295
11708215,6312
11708397,4026
11708398,3893
11708435,4028
11708435,4015
11708215,6311
11708214,3892
11708397,4027
11708216,4015
11708398,6296
11708216,6314
11708400,4277
11708399,3825
11708213,4277
11708397,4028
11708397,4015
11708215,6295
11708214,3824
11708216,6312
11708398,4026
11708399,3893
11708215,3892
11708217,4015
11708216,6311
11708398,4027
11708400,3825
11708401,4277
11708217,6314
11708399,6296
11708214,4277
11708215,3824
11708398,4028
11708216,6295
11708217,6312
11708398,4015
11708400,3893
11708399,4026
11708218,4015
11708401,3825
11708402,4277
11708216,3892
11708217,6311
11708218,6314
11708400,6296
11708399,4027
11708215,4277
11708216,3824
11708218,6312
11708401,3893
11708217,6295
11708399,4028
11708400,4026
11708244,4015
11708399,4015
11708218,6311
11708403,4277
11708401,6296
11708244,6314
11708402,3825
11708400,4027
11708513,3893
11708217,3892
11708216,4277
11708244,6312
11708218,6295
11708217,3824
11708513,6296
11708402,3893
11708400,4028
11708401,4026
11708400,4015
11708245,4015
11708404,4277
11708244,6311
11708403,3825
11708245,6314
11708402,6296
11708218,3892
11708514,3893
11708401,4027
11708513,4026
11708245,6312
11708244,6295
11708217,4277
11708218,3824
11708514,6296
11708403,3893
11708401,4028
11708246,4015
11708402,4026
11708401,4015
11708513,4027
11708245,6311
11708442,4277
11708437,3893
11708246,6314
11708244,3892
11708403,6296
11708404,3825
11708513,4028
11708514,4026
11708402,4027
11708246,6312
11708513,4015
11708515,3893
11708247,4015
11708245,6295
11708218,4277
11708437,6296
11708244,3824
11708514,4027
11708404,3893
11708403,4026
11708402,4028
11708247,6314
11708443,4277
11708515,6296
11708402,4015
11708246,6311
11708320,4015
11708245,3892
11708442,3825
11708437,4026
11708247,6312
11708514,4028
11708404,6296
11708403,4027
11708514,4015
11708516,3893
11708320,6314
11708246,6295
11708244,4277
11708515,4026
11708245,3824
11708248,4015
11708437,4027
11708247,6311
11708403,4028
11708444,4277
11708320,6312
11708442,3893
11708403,4015
11708516,6296
11708248,6314
11708404,4026
11708515,4027
11708246,3892
11708437,4028
11708443,3825
11708437,4015
11708321,4015
11708247,6295
11708517,3893
11708320,6311
11708248,6312
11708404,4027
11708442,6296
11708515,4028
11708321,6314
11708245,4277
11708515,4015
11708246,3824
11708516,4026
11708445,4277
11708249,4015
11708443,3893
11708247,3892
11708517,6296
11708248,6311
11708320,6295
11708404,4028
11708321,6312
11708444,3825
11708516,4027
11708249,6314
11708404,4015
11708442,4026
11708518,3893
11708250,4015
11708443,6296
11708247,3824
11708320,3892
11708248,6295
11708246,4277
11708321,6311
11708517,4026
11708249,6312
11708442,4027
11708516,4028
11708250,6314
11708446,4277
11708444,3893
11708516,4015
11708518,6296
11708322,4015
11708517,4027
11708249,6311
11708321,6295
11708248,3892
11708445,3825
11708443,4026
11708250,6312
11708442,4028
11708519,3893
11708442,4015
11708322,6314
11708444,6296
11708247,4277
11708443,4027
11708251,4015
11708518,4026
11708517,4028
11708321,3892
11708249,6295
11708250,6311
11708248,3824
11708322,6312
11708447,4277
11708517,4015
11708445,3893
11708519,6296
11708251,6314
11708518,4027
11708323,4015
11708446,3825
11708444,4026
11708443,4028
11708249,3892
11708250,6295
11708443,4015
11708322,6311
11708520,3893
11708445,6296
11708323,6314
11708251,6312
11708252,4015
11708444,4027
11708518,4028
11708519,4026
11708518,4015
11708248,4277
11708448,4277
11708446,3893
11708250,3892
11708249,3824
11708520,6296
11708252,6314
11708251,6311
11708323,6312
11708322,6295
11708324,4015
11708447,3825
11708445,4026
11708519,4027
11708444,4028
11708521,3893
11708252,6312
11708324,6314
11708446,6296
11708444,4015
11708323,6311
11708250,3824
11708322,3892
11708251,6295
11708253,4015
11708445,4027
11708520,4026
11708449,4277
11708447,3893
11708519,4028
11708521,6296
11708519,4015
11708252,6311
11708324,6312
11708253,6314
11708249,4277
11708323,6295
11708325,4015
11708251,3892
11708448,3825
11708520,4027
11708446,4026
11708522,3893
11708445,4028
11708445,4015
11708447,6296
11708325,6314
11708253,6312
11708324,6311
11708252,6295
11708254,4015
11708323,3892
11708250,4277
11708446,4027
11708521,4026
11708251,3824
11708520,4028
11708448,3893
11708450,4277
11708253,6311
11708520,4015
11708325,6312
11708254,6314
11708522,6296
11708449,3825
11708326,4015
11708252,3892
11708324,6295
11708447,4026
11708521,4027
11708446,4028
11708523,3893
11708325,6311
11708446,4015
11708254,6312
11708326,6314
11708448,6296
11708255,4015
11708243,3892
11708253,6295
11708522,4026
11708447,4027
11708252,3824
11708324,3892
11708521,4028
11708251,4277
11708451,4277
11708449,3893
11708521,4015
11708254,6311
11708326,6312
11708255,6314
11708523,6296
11708327,4015
11708450,3825
11708325,6295
11708448,4026
11708522,4027
11708243,3824
11708524,3893
11708447,4028
11708253,3892
11708327,6314
11708326,6311
11708449,6296
11708447,4015
11708255,6312
11708254,6295
11708256,4015
11708523,4026
11708448,4027
11708450,3893
11708325,3892
11708452,4277
11708252,4277
11708522,4028
11708522,4015
11708327,6312
11708255,6311
11708256,6314
11708524,6296
11708253,3824
11708326,6295
11708328,4015
11708451,3825
11708523,4027
11708449,4026
11708448,4028
11708525,3893
11708254,3892
11708328,6314
11708450,6296
11708243,4277
11708448,4015
11708327,6311
11708256,6312
11708257,4015
11708255,6295
11708524,4026
11708449,4027
11708523,4028
11708326,3892
11708451,3893
11708453,4277
11708328,6312
11708525,6296
11708257,6314
11708256,6311
11708523,4015
11708254,3824
11708253,4277
11708327,6295
11708329,4015
11708452,3825
11708450,4026
11708524,4027
11708526,3893
11708255,3892
11708449,4028
11708257,6312
11708329,6314
11708449,4015
11708328,6311
11708451,6296
11708256,6295
11708258,4015
11708450,4027
11708525,4026
11708524,4028
11708452,3893
11708454,4277
11708327,3892
11708257,6311
11708258,6314
11708329,6312
11708526,6296
11708524,4015
11708255,3824
11708254,4277
11708328,6295
11708330,4015
11708453,3825
11708525,4027
11708451,4026
11708527,3893
11708450,4028
11708256,3892
11708330,6314
11708450,4015
11708452,6296
11708329,6311
11708258,6312
11708257,6295
11708259,4015
11708526,4026
11708451,4027
11708455,4277
11708328,3892
11708525,4028
11708525,4015
11708330,6312
11708258,6311
11708453,3893
11708527,6296
11708259,6314
11708256,3824
11708329,6295
11708454,3825
11708331,4015
11708255,4277
11708452,4026
11708526,4027
11708257,3892
11708451,4028
11708330,6311
11708259,6312
11708451,4015
11708331,6314
11708528,3893
11708453,6296
11708260,4015
11708258,6295
11708452,4027
11708527,4026
11708456,4277
11708526,4028
11708329,3892
11708331,6312
11708454,3893
11708260,6314
11708259,6311
11708526,4015
11708257,3824
11708528,6296
11708330,6295
11708256,4277
11708455,3825
11708332,4015
11708527,4027
11708453,4026
11708258,3892
11708452,4028
11708452,4015
11708331,6311
11708529,3893
11708260,6312
11708332,6314
11708454,6296
11708259,6295
11708261,4015
11708453,4027
11708527,4028
11708528,4026
11708457,4277
11708330,3892
11708332,6312
11708261,6314
11708455,3893
11708260,6311
11708527,4015
11708529,6296
11708258,3824
11708456,3825
11708331,6295
11708257,4277
11708333,4015
11708528,4027
11708454,4026
11708259,3892
11708333,6314
11708332,6311
11708453,4028
11708530,3893
11708261,6312
11708455,6296
11708453,4015
11708260,6295
11708262,4015
11708454,4027
11708529,4026
11708331,3892
11708456,3893
11708458,4277
11708528,4028
11708261,6311
11708333,6312
11708262,6314
11708528,4015
11708259,3824
11708530,6296
11708457,3825
11708332,6295
11708258,4277
11708334,4015
11708529,4027
11708260,3892
11708531,3893
11708455,4026
11708456,6296
11708262,6312
11708334,6314
11708333,6311
11708454,4028
11708454,4015
11708263,4015
11708261,6295
11708530,4026
11708455,4027
11708332,3892
11708459,4277
11708457,3893
11708262,6311
11708529,4028
11708263,6314
11708334,6312
11708531,6296
11708529,4015
11708458,3825
11708260,3824
11708333,6295
11708259,4277
11708335,4015
11708456,4026
11708530,4027
11708261,3892
11708532,3893
11708457,6296
11708455,4028
11708335,6314
11708334,6311
11708455,4015
11708263,6312
11708262,6295
11708264,4015
11708456,4027
11708531,4026
11708458,3893
11708333,3892
11708460,4277
11708532,6296
11708264,6314
11708530,4028
11708459,3825
11708335,6312
11708261,3824
11708530,4015
11708334,6295
11708263,6311
11708336,4015
11708457,4026
11708260,4277
11708531,4027
11708456,4028
11708262,3892
11708533,3893
11708336,6314
11708456,4015
11708458,6296
11708264,6312
11708335,6311
11708265,4015
11708457,4027
11708532,4026
11708263,6295
11708461,4277
11708334,3892
11708459,3893
11708531,4028
11708265,6314
11708533,6296
11708531,4015
11708262,3824
11708336,6312
11708460,3825
11708264,6311
11708337,4015
11708458,4026
11708261,4277
11708532,4027
11708457,4028
11708335,6295
11708534,3893
11708459,6296
11708337,6314
11708263,3892
11708457,4015
11708265,6312
11708336,6311
11708266,4015
11708458,4027
11708533,4026
11708264,6295
11708462,4277
11708460,3893
11708532,4028
11708534,6296
11708335,3892
11708266,6314
11708532,4015
11708337,6312
11708461,3825
11708263,3824
11708338,4015
11708265,6311
11708262,4277
11708459,4026
11708533,4027
11708458,4028
11708336,6295
11708535,3893
11708460,6296
11708338,6314
11708264,3892
11708458,4015
11708266,6312
11708267,4015
11708337,6311
11708534,4026
11708459,4027
11708463,4277
11708265,6295
11708461,3893
11708267,6314
11708533,4028
11708336,3892
11708535,6296
11708533,4015
11708462,3825
11708338,6312
11708264,3824
11708266,6311
11708339,4015
11708460,4026
11708534,4027
11708263,4277
11708337,6295
11708536,3893
11708265,3892
11708459,4028
11708339,6314
11708461,6296
11708459,4015
11708267,6312
11708268,4015
11708338,6311
11708535,4026
11708460,4027
11708464,4277
11708266,6295
11708462,3893
11708268,6314
11708534,4028
11708337,3892
11708536,6296
11708534,4015
11708463,3825
11708339,6312
11708265,3824
11708267,6311
11708340,4015
11708461,4026
11708535,4027
11708338,6295
11708264,4277
11708537,3893
11708340,6314
11708460,4028
11708462,6296
11708266,3892
11708460,4015
11708268,6312
11708269,4015
11708339,6311
11708536,4026
11708461,4027
11708465,4277
11708267,6295
11708463,3893
11708269,6314
11708535,4028
11708338,3892
11708537,6296
11708535,4015
11708340,6312
11708464,3825
11708266,3824
11708341,4015
11708268,6311
11708462,4026
11708536,4027
11708339,6295
11708265,4277
11708538,3893
11708341,6314
11708461,4028
11708463,6296
11708267,3892
11708461,4015
11708269,6312
11708270,4015
11708340,6311
11708537,4026
11708462,4027
11708464,3893
11708268,6295
11708466,4277
11708536,4028
11708270,6314
11708339,3892
11708538,6296
11708465,3825
11708536,4015
11708341,6312
11708342,4015
11708267,3824
11708269,6311
11708463,4026
11708537,4027
11708340,6295
11708266,4277
11708539,3893
11708342,6314
11708462,4028
11708464,6296
11708268,3892
11708462,4015
11708270,6312
11708271,4015
11708341,6311
11708538,4026
11708463,4027
11708467,4277
11708269,6295
11708465,3893
11708271,6314
11708537,4028
11708340,3892
11708539,6296
11708537,4015
11708466,3825
11708342,6312
11708268,3824
11708343,4015
11708270,6311
11708464,4026
11708538,4027
11708341,6295
11708540,3893
11708267,4277
11708465,6296
11708463,4028
11708343,6314
11708269,3892
11708463,4015
11708271,6312
11708272,4015
11708342,6311
11708539,4026
11708466,3893
11708464,4027
11708468,4277
11708270,6295
11708540,6296
11708341,3892
11708272,6314
11708538,4028
11708467,3825
11708343,6312
11708538,4015
11708271,6311
11708269,3824
11708344,4015
11708465,4026
11708539,4027
11708268,4277
11708342,6295
11708541,3893
11708344,6314
11708464,4028
11708466,6296
11708270,3892
11708272,6312
11708464,4015
11708343,6311
11708273,4015
11708540,4026
11708465,4027
11708469,4277
11708271,6295
11708467,3893
11708273,6314
11708539,4028
11708541,6296
11708342,3892
11708539,4015
11708344,6312
11708468,3825
11708270,3824
11708345,4015
11708272,6311
11708466,4026
11708540,4027
11708269,4277
11708343,6295
11708542,3893
11708345,6314
11708465,4028
11708467,6296
11708271,3892
11708273,6312
11708465,4015
11708344,6311
11708274,4015
11708541,4026
11708466,4027
11708470,4277
11708272,6295
11708468,3893
11708542,6296
11708540,4028
11708274,6314
11708343,3892
11708540,4015
11708345,6312
11708469,3825
11708271,3824
11708346,4015
11708273,6311
11708467,4026
11708541,4027
11708270,4277
11708344,6295
11708543,3893
11708466,4028
11708272,3892
11708346,6314
11708468,6296
11708466,4015
11708274,6312
11708275,4015
