service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72953,1,1,1,1,1,0,0,20250113,20250808
72954,0,0,0,0,0,1,0,20250118,20250809
72955,0,0,0,0,0,0,1,20250119,20250810
75396,1,1,1,1,1,0,0,20250113,20250808
75397,0,0,0,0,0,1,0,20250118,20250809
75398,0,0,0,0,0,0,1,20250119,20250810
75724,1,1,1,1,1,0,0,20250113,20250808
75725,0,0,0,0,0,1,0,20250118,20250809
75726,0,0,0,0,0,0,1,20250119,20250810
