route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
Orange-N,72954,1674564,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682474,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674565,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682475,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677619,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677620,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682476,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674566,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677617,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674567,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682473,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677621,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674568,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682477,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677622,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674569,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682478,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682479,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677623,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674570,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674571,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682480,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677624,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674572,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682483,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677627,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674573,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682481,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677625,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677628,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682484,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674574,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682485,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677629,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674575,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677626,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682482,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674576,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674577,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682486,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677630,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674578,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677631,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682487,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674579,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677632,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682488,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677633,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674580,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682489,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682490,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677634,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674581,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682491,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674582,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677635,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682492,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674583,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677636,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674584,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682493,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677637,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677638,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674585,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682494,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674586,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682495,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677639,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677640,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674587,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682496,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677641,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674588,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682497,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677644,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682500,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674589,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682501,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674590,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677645,Richmond,0,,003C_shp,,0,0
Orange-N,72954,1674591,Richmond,0,,003C_shp,,0,0
Orange-N,72953,1682499,Richmond,0,,003C_shp,,0,0
Orange-N,72955,1677643,Richmond,0,,003C_shp,,0,0
Orange-S,72953,1682559,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682503,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682504,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682505,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674655,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682506,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674656,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682507,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674657,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682508,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674658,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682509,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674659,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682510,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674660,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677655,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674661,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682511,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682512,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674662,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677656,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677657,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682513,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674663,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72953,1682514,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677658,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72954,1674664,Berryessa/North San Jose,1,,004A_shp,,0,0
Orange-S,72955,1677659,Berryessa/North San Jose,1,,004A_shp,,0,0
